id,calificacion,caracteristica,imagen,nombre,juego_id,puesto,total,valor1,valor2,valor3
12,NULL,"Posible Novia",Nami_Nami.jpg,Nami,23,39,78.5,100,90,60
14,NULL,"Posible novia",Bella_x-sa125~2.jpg,Bella,23,51,76,100,70,70
15,NULL,"Sin descripción.",Zara_x-ad1068~2.jpg,Zara,23,93,57.5,100,75,25
16,NULL,"Sin descripción.",Sonya_x-ad1635~2.jpg,Sonya,23,75,65,100,90,30
17,NULL,"Hermana de Victoria",Miya_x-ae1315~2.jpg,Maja,23,109,46.5,100,50,20
18,NULL,"Posible novia",Victoria_x-ad1802~2.jpg,Victoria,23,35,79.75,100,100,55
19,NULL,"Sin descripción.",Nia_x-sb184a~2.jpg,Nia,23,101,51.75,100,65,20
20,NULL,"Sin descripción.",Vannesa_x-ad730~2.jpg,Vannesa,23,104,50.5,100,55,25
21,NULL,"Sin descripción.",Mila_x-ae735~2.jpg,Mila,23,31,80.75,100,90,65
22,NULL,"Sin descripción.",Nadia_x-ad1399~2.jpg,Nadia,23,95,57,100,80,20
23,NULL,"Sin descripción.",Amber_x-sd22~3.jpg,Amber,23,79,64,100,100,20
24,NULL,"Sin descripción.",Naomi_x-e4_195_nc~2.jpg,Naomi,26,53,75.5,85,90,60
25,NULL,"Sin descripción.",Victoria_x-e5_2616~2.jpg,Victoria,26,73,66.95,80,80,51
26,NULL,"Sin descripción.",nn.jpg,Lilith,26,44,77.1,82,77,75
27,NULL,"Sin descripción.",Madison_Madison.jpg,Madison,26,77,64.15,80,63,58
28,NULL,"Sin descripción.",Julie_julie.jpg,Julie,26,83,62.25,80,55,60
29,NULL,"Sin descripción.",Evelyn_Monitajsjs.jpg,Evelyn,26,33,80.6,83,80,80
30,NULL,"Sin descripción.",Anastasia_anastasia.jpg,Anastasia,26,110,46.2,82,53,25
31,NULL,"Sin descripción.",Haley_Haley.jpg,Haley,26,58,74.7,83,76,70
32,NULL,"Sin descripción.",Hyuna_x-e5_415~2.jpg,Hyuna,26,57,75,80,85,65
33,NULL,"Sin descripción.",Nora_Nora.jpg,Nora,25,89,58.5,82,78,33
34,NULL,"Sin descripción.",Martha_nosefelitarl.jpg,Martha,25,112,41.7,76,55,20
35,NULL,"Sin descripción.","Lily_x-18lily (50)~2.jpg",Lily,22,80,63.8,67,58,67
36,NULL,"Sin descripción.","Sophia_x-27sop (27)~2.jpg",Sophia,22,43,77.45,67,75,84
37,NULL,"Sin descripción.","Nora_x-24eva (70)~2.jpg",Nora,22,48,76.7,67,78,80
38,NULL,"Sin descripción.","Samantha_x-1smt (18)~2.jpg",Samantha,22,82,63.15,70,80,47
39,NULL,"Sin descripción.","Susan_x-28sr (23)~2.jpg",Susan,22,67,70.7,68,68,74
40,NULL,"Sin descripción.","Eva_x-28en (5)~2.jpg",Eva,22,28,80.9,72,84,82
41,NULL,"Sin descripción.","Rebbeca_x-24rebs (90)~2.jpg",Haily,22,34,80.15,65,80,87
42,NULL,"Sin descripción.","Rebbeca_x-19reb (147)~2.jpg",Rebbeca,22,68,70.5,68,70,72
43,NULL,"Sin descripción.",Jasmine_Jasmine.jpg,Janet,22,54,75.5,70,78,76
44,NULL,"Sin descripción.",Karen_Karen.jpg,Karen,22,91,57.65,70,72,41
45,NULL,"Sin descripción.","Lydia_x-28sus (11)~2.jpg",Lydia,22,78,64.15,70,70,57
46,NULL,"Sin descripción.",P_x-1290~2.jpg,Sonia,22,64,71.7,71,73,71
47,NULL,"Hermana de Helen",haileyy.jpg,Haley,19,1,98.15,93,100,99
48,NULL,"Hermana de Haley",Helen_HeFo1~2.jpg,Helen,19,2,96.8,98,100,94
49,NULL,"Sin descripción.",P_x-Eba5-2~2.jpg,Anna,19,3,95.7,90,100,94
50,NULL,"Sin descripción.",P_x-KlTk18~2.jpg,Kelly,19,12,87.35,90,85,88
51,NULL,"Sin descripción.",P_x-Gypvm2~3.jpg,Lana,19,14,84.4,90,92,76
52,NULL,"Sin descripción.",P_x-Msl3~2.jpg,Lisa,19,61,73.05,90,84,57
53,NULL,"Sin descripción.",P_x-Mam7~2.jpg,Martha,19,105,49.75,90,65,20
54,NULL,"Sin descripción.",P_x-CfGcHz11~2.jpg,Lily,19,85,59.5,90,80,30
55,NULL,"Sin descripción.",P_x-NcT3~2.jpg,Juna,19,23,82.2,90,87,75
56,NULL,"Sin descripción.",P_x-SbHs31~2.jpg,Jenny,19,36,79.75,90,80,75
